total_bill,tip,sex,smoker,day,time,size
,3.0,,No,Thur,Lunch,2.0
,2.2,Female,No,,Dinner,2.0
39.42,7.58,,No,,Dinner,4.0
10.27,1.71,,No,Sun,Dinner,
...,,,,,,
16.31,2.0,Male,No,Sat,,
12.69,,,No,Sat,Dinner,2.0
18.29,3.76,,,Sat,Dinner,4.0
18.28,4.0,Male,,,Lunch,2.0
,4.71,Male,No,,Dinner,4.0
23.68,3.31,Male,No,,Dinner,
17.78,3.27,Male,No,,,2.0
32.4,6.0,,No,,Dinner,4.0
34.81,5.2,,No,Sun,Dinner,
16.93,3.07,Female,,,Dinner,3.0
22.23,5.0,Male,No,Sun,,
,,Male,Yes,Fri,Dinner,2.0
,2.0,Male,No,Thur,Lunch,
